pair,record,side,shot,tilt,photo_file,marks,size_note,width,height
gvirti_hanava_sidea_shot1_tilt2-2,gvirti_hanava,a,1,2-2,gvirti_hanava_sideA_shot1_tilt2-2.jpg,3,resized,1620,2160
gvirti_hanava_sidea_shot2_tilt1-3,gvirti_hanava,a,2,1-3,gvirti_hanava_sideA_shot2_tilt1-3.jpg,29,resized,1620,2160
gvirti_hanava_sideb_shot1_tilt1-2,gvirti_hanava,b,1,1-2,gvirti_hanava_sideB_shot1_tilt1-2.jpg,6,resized,1620,2160
gvirti_hanava_sideb_shot2_tilt1-2,gvirti_hanava,b,2,1-2,gvirti_hanava_sideB_shot2_tilt1-2.jpg,5,resized,1620,2160
hagivatron_sidea_shot1_tilt2-2,hagivatron,a,1,2-2,hagivatron_sideA_shot1_tilt2-2.jpg,1,resized,1620,2160
hagivatron_sidea_shot2_tilt0-2,hagivatron,a,2,0-2,hagivatron_sideA_shot2_tilt0-2.jpg,1,resized,1620,2160
hagivatron_sideb_shot1_tilt1-2,hagivatron,b,1,1-2,hagivatron_sideB_shot1_tilt1-2.jpg,4,resized,1620,2160
hagivatron_sideb_shot2_tilt1-2,hagivatron,b,2,1-2,hagivatron_sideB_shot2_tilt1-2.jpg,5,resized,1620,2160
haloh_halha_hahevraia_sidea_shot1_tilt2-2,haloh_halha_hahevraia,a,1,2-2,haloh_halha_hahevraia_sideA_shot1_tilt2-2.jpg,0,same size,3024,4032
haloh_halha_hahevraia_sidea_shot2_tilt0-2,haloh_halha_hahevraia,a,2,0-2,haloh_halha_hahevraia_sideA_shot2_tilt0-2.jpg,5,resized,3024,4032
haloh_halha_hahevraia_sideb_shot1_tilt0-3,haloh_halha_hahevraia,b,1,0-3,haloh_halha_hahevraia_sideB_shot1_tilt0-3.jpg,3,resized,1620,2160
haloh_halha_hahevraia_sideb_shot2_tilt1-3,haloh_halha_hahevraia,b,2,1-3,haloh_halha_hahevraia_sideB_shot2_tilt1-3.jpg,6,resized,1620,2160
hanapah_haaliz_sidea_shot2_tilt2-3,hanapah_haaliz,a,2,2-3,hanapah_haaliz_sideA_shot2_tilt2-3.jpg,4,resized,1620,2160
hanapah_haaliz_sidea_shot3_tilt2-2,hanapah_haaliz,a,3,2-2,hanapah_haaliz_sideA_shot3_tilt2-2.jpg,6,resized,1620,2160
hanapah_haaliz_sideb_shot1_tilt1-2,hanapah_haaliz,b,1,1-2,hanapah_haaliz_sideB_shot1_tilt1-2.jpg,4,resized,1620,2160
hanapah_haaliz_sideb_shot2_tilt1-2,hanapah_haaliz,b,2,1-2,hanapah_haaliz_sideB_shot2_tilt1-2.jpg,4,resized,1620,2160
hanukia_li_yesh_sidea_shot1_tilt2-1,hanukia_li_yesh,a,1,2-1,hanukia_li_yesh_sideA_shot1_tilt2-1.jpg,25,resized,3024,4032
hanukia_li_yesh_sidea_shot2_tilt0-2,hanukia_li_yesh,a,2,0-2,hanukia_li_yesh_sideA_shot2_tilt0-2.jpg,11,resized,1620,2160
hanukia_li_yesh_sideb_shot1_tilt1-3,hanukia_li_yesh,b,1,1-3,hanukia_li_yesh_sideB_shot1_tilt1-3.jpg,33,resized,1620,2160
hanukia_li_yesh_sideb_shot2_tilt0-2,hanukia_li_yesh,b,2,0-2,hanukia_li_yesh_sideB_shot2_tilt0-2.jpg,36,resized,1620,2160
hio_laylot_sidea_shot1_tilt1-2,hio_laylot,a,1,1-2,hio_laylot_sideA_shot1_tilt1-2.jpg,2,resized,1620,2160
hio_laylot_sidea_shot2_tilt1-1,hio_laylot,a,2,1-1,hio_laylot_sideA_shot2_tilt1-1.jpg,2,resized,1620,2160
hio_laylot_sideb_shot1_tilt1-2,hio_laylot,b,1,1-2,hio_laylot_sideB_shot1_tilt1-2.jpg,1,resized,1620,2160
hio_laylot_sideb_shot2_tilt0-2,hio_laylot,b,2,0-2,hio_laylot_sideB_shot2_tilt0-2.jpg,1,resized,1620,2160
kanar_al_hagag_sidea_shot1_tilt1-2,kanar_al_hagag,a,1,1-2,kanar_al_hagag_sideA_shot1_tilt1-2.jpg,0,resized,1620,2160
kanar_al_hagag_sidea_shot2_tilt0-3,kanar_al_hagag,a,2,0-3,kanar_al_hagag_sideA_shot2_tilt0-3.jpg,0,resized,1620,2160
kanar_al_hagag_sideb_shot1_tilt2-2,kanar_al_hagag,b,1,2-2,kanar_al_hagag_sideB_shot1_tilt2-2.jpg,23,resized,1620,2160
kanar_al_hagag_sideb_shot2_tilt0-3,kanar_al_hagag,b,2,0-3,kanar_al_hagag_sideB_shot2_tilt0-3.jpg,11,resized,1620,2160
masotav_hamoflaaim_sidea_shot1_tilt1-3,masotav_hamoflaaim,a,1,1-3,masotav_hamoflaaim_sideA_shot1_tilt1-3.jpg,12,resized,1620,2160
masotav_hamoflaaim_sidea_shot2_tilt1-3,masotav_hamoflaaim,a,2,1-3,masotav_hamoflaaim_sideA_shot2_tilt1-3.jpg,13,resized,1620,2160
masotav_hamoflaaim_sideb_shot1_tilt1-3,masotav_hamoflaaim,b,1,1-3,masotav_hamoflaaim_sideB_shot1_tilt1-3.jpg,7,resized,1620,2160
masotav_hamoflaaim_sideb_shot2_tilt0-2,masotav_hamoflaaim,b,2,0-2,masotav_hamoflaaim_sideB_shot2_tilt0-2.jpg,6,resized,1620,2160
nira_rabinuvich_sidea_shot1_tilt0-3,nira_rabinuvich,a,1,0-3,nira_rabinuvich_sideA_shot1_tilt0-3.jpg,1,resized,1620,2160
nira_rabinuvich_sidea_shot2_tilt0-2,nira_rabinuvich,a,2,0-2,nira_rabinuvich_sideA_shot2_tilt0-2.jpg,1,resized,1620,2160
nira_rabinuvich_sideb_shot1_tilt2-2,nira_rabinuvich,b,1,2-2,nira_rabinuvich_sideB_shot1_tilt2-2.jpg,2,resized,1620,2160
nira_rabinuvich_sideb_shot2_tilt0-3,nira_rabinuvich,b,2,0-3,nira_rabinuvich_sideB_shot2_tilt0-3.jpg,2,resized,1620,2160
pierre_et_le_loup_sideb_shot1_tilt1-1,pierre_et_le_loup,b,1,1-1,pierre_et_le_loup_sideB_shot1_tilt1-1.jpg,13,resized,1620,2160
pierre_et_le_loup_sideb_shot2_tilt1-2,pierre_et_le_loup,b,2,1-2,pierre_et_le_loup_sideB_shot2_tilt1-2.jpg,10,resized,1620,2160
ran_and_rama_sidea_shot1_tilt1-3,ran_and_rama,a,1,1-3,ran_and_rama_sideA_shot1_tilt1-3.jpg,4,resized,1620,2160
ran_and_rama_sidea_shot2_tilt1-1,ran_and_rama,a,2,1-1,ran_and_rama_sideA_shot2_tilt1-1.jpg,3,resized,1620,2160
ran_and_rama_sideb_shot2_tilt0-2,ran_and_rama,b,2,0-2,ran_and_rama_sideB_shot2_tilt0-2.jpg,8,resized,1620,2160
rega_im_dodli_sidea_shot1_tilt1-3,rega_im_dodli,a,1,1-3,rega_im_dodli_sideA_shot1_tilt1-3.jpg,5,resized,1620,2160
rega_im_dodli_sidea_shot2_tilt0-2,rega_im_dodli,a,2,0-2,rega_im_dodli_sideA_shot2_tilt0-2.jpg,8,resized,1620,2160
rega_im_dodli_sideb_shot1_tilt0-2,rega_im_dodli,b,1,0-2,rega_im_dodli_sideB_shot1_tilt0-2.jpg,0,resized,1620,2160
rega_im_dodli_sideb_shot2_tilt1-2,rega_im_dodli,b,2,1-2,rega_im_dodli_sideB_shot2_tilt1-2.jpg,2,resized,1620,2160
shiri_zeev_havazelet_sidea_shot1_tilt0-2,shiri_zeev_havazelet,a,1,0-2,shiri_zeev_havazelet_sideA_shot1_tilt0-2.jpg,14,resized,1620,2160
shiri_zeev_havazelet_sidea_shot2_tilt0-3,shiri_zeev_havazelet,a,2,0-3,shiri_zeev_havazelet_sideA_shot2_tilt0-3.jpg,12,resized,1620,2160
shiri_zeev_havazelet_sideb_shot1_tilt0-2,shiri_zeev_havazelet,b,1,0-2,shiri_zeev_havazelet_sideB_shot1_tilt0-2.jpg,13,resized,1620,2160
shiri_zeev_havazelet_sideb_shot2_tilt0-2,shiri_zeev_havazelet,b,2,0-2,shiri_zeev_havazelet_sideB_shot2_tilt0-2.jpg,6,resized,1620,2160
shirim_bezvaaim_tiviim_sidea_shot1_tilt2-2,shirim_bezvaaim_tiviim,a,1,2-2,shirim_bezvaaim_tiviim_sideA_shot1_tilt2-2.jpg,6,resized,1620,2160
shirim_bezvaaim_tiviim_sidea_shot2_tilt0-3,shirim_bezvaaim_tiviim,a,2,0-3,shirim_bezvaaim_tiviim_sideA_shot2_tilt0-3.jpg,7,resized,1620,2160
shirim_bezvaaim_tiviim_sideb_shot1_tilt1-2,shirim_bezvaaim_tiviim,b,1,1-2,shirim_bezvaaim_tiviim_sideB_shot1_tilt1-2.jpg,9,resized,1620,2160
shirim_bezvaaim_tiviim_sideb_shot2_tilt1-2,shirim_bezvaaim_tiviim,b,2,1-2,shirim_bezvaaim_tiviim_sideB_shot2_tilt1-2.jpg,22,resized,1620,2160
shlishiat_hamaapil_sidea_shot1_tilt1-2,shlishiat_hamaapil,a,1,1-2,shlishiat_hamaapil_sideA_shot1_tilt1-2.jpg,0,same size,3024,4032
shlishiat_hamaapil_sidea_shot2_tilt0-1,shlishiat_hamaapil,a,2,0-1,shlishiat_hamaapil_sideA_shot2_tilt0-1.jpg,0,same size,3024,4032
shlishiiat_hamapil_sidea_shot1_tilt3-5,shlishiiat_hamapil,a,1,3-5,shlishiiat_hamapil_sideA_shot1_tilt3-5.jpg,0,same size,3024,4032
shlishiiat_hamapil_sidea_shot2_tilt0-4,shlishiiat_hamapil,a,2,0-4,shlishiiat_hamapil_sideA_shot2_tilt0-4.jpg,0,same size,3024,4032
shlishiiat_hamapil_sideb_shot1_tilt3-3,shlishiiat_hamapil,b,1,3-3,shlishiiat_hamapil_sideB_shot1_tilt3-3.jpg,0,resized,1620,2160
shlishiiat_hamapil_sideb_shot2_tilt2-3,shlishiiat_hamapil,b,2,2-3,shlishiiat_hamapil_sideB_shot2_tilt2-3.jpg,0,resized,1620,2160
shok_hameziot_sidea_shot1_tilt2-2,shok_hameziot,a,1,2-2,shok_hameziot_sideA_shot1_tilt2-2.jpg,1,resized,1620,2160
shok_hameziot_sidea_shot2_tilt0-2,shok_hameziot,a,2,0-2,shok_hameziot_sideA_shot2_tilt0-2.jpg,2,resized,1620,2160
shok_hameziot_sideb_shot1_tilt0-2,shok_hameziot,b,1,0-2,shok_hameziot_sideB_shot1_tilt0-2.jpg,1,resized,1620,2160
shok_hameziot_sideb_shot2_tilt0-2,shok_hameziot,b,2,0-2,shok_hameziot_sideB_shot2_tilt0-2.jpg,1,resized,1620,2160
siporim_sheanat_ohevet_sideb_shot1_tilt1-2,siporim_sheanat_ohevet,b,1,1-2,siporim_sheanat_ohevet_sideB_shot1_tilt1-2.jpg,2,resized,1620,2160
siporim_sheanat_ohevet_sideb_shot2_tilt1-1,siporim_sheanat_ohevet,b,2,1-1,siporim_sheanat_ohevet_sideB_shot2_tilt1-1.jpg,2,resized,1620,2160
sipur_musicali_leyeladim_sidea_shot1_tilt1-1,sipur_musicali_leyeladim,a,1,1-1,sipur_musicali_leyeladim_sideA_shot1_tilt1-1.jpg,4,resized,1620,2160
sipur_musicali_leyeladim_sidea_shot2_tilt0-2,sipur_musicali_leyeladim,a,2,0-2,sipur_musicali_leyeladim_sideA_shot2_tilt0-2.jpg,5,resized,1620,2160
sipur_musicali_leyeladim_sideb_shot1_tilt2-1,sipur_musicali_leyeladim,b,1,2-1,sipur_musicali_leyeladim_sideB_shot1_tilt2-1.jpg,3,resized,1620,2160
sipur_musicali_leyeladim_sideb_shot2_tilt1-2,sipur_musicali_leyeladim,b,2,1-2,sipur_musicali_leyeladim_sideB_shot2_tilt1-2.jpg,4,resized,1620,2160
the_kameri_sidea_shot1_tilt2-2,the_kameri,a,1,2-2,the_kameri_sideA_shot1_tilt2-2.jpg,0,same size,3024,4032
the_kameri_sidea_shot2_tilt1-2,the_kameri,a,2,1-2,the_kameri_sideA_shot2_tilt1-2.jpg,1,resized,1620,2160
the_kameri_sideb_shot1_tilt1-3,the_kameri,b,1,1-3,the_kameri_sideB_shot1_tilt1-3.jpg,0,same size,3024,4032
the_kameri_sideb_shot2_tilt0-2,the_kameri,b,2,0-2,the_kameri_sideB_shot2_tilt0-2.jpg,0,same size,3024,4032
tizmoret_zahal_sidea_shot1_tilt0-2,tizmoret_zahal,a,1,0-2,tizmoret_zahal_sideA_shot1_tilt0-2.jpg,8,resized,1620,2160
tizmoret_zahal_sidea_shot2_tilt1-2,tizmoret_zahal,a,2,1-2,tizmoret_zahal_sideA_shot2_tilt1-2.jpg,8,resized,1620,2160
tizmoret_zahal_sideb_shot1_tilt1-2,tizmoret_zahal,b,1,1-2,tizmoret_zahal_sideB_shot1_tilt1-2.jpg,6,resized,1620,2160
tizmoret_zahal_sideb_shot2_tilt1-2,tizmoret_zahal,b,2,1-2,tizmoret_zahal_sideB_shot2_tilt1-2.jpg,9,resized,1620,2160
yafa_yarkobi_sidea_shot1_tilt1-2,yafa_yarkobi,a,1,1-2,yafa_yarkobi_sideA_shot1_tilt1-2.jpg,3,resized,1620,2160
yafa_yarkobi_sidea_shot2_tilt1-2,yafa_yarkobi,a,2,1-2,yafa_yarkobi_sideA_shot2_tilt1-2.jpg,2,resized,1620,2160
yafa_yarkobi_sideb_shot1_tilt1-2,yafa_yarkobi,b,1,1-2,yafa_yarkobi_sideB_shot1_tilt1-2.jpg,4,resized,1620,2160
yafa_yarkobi_sideb_shot2_tilt0-3,yafa_yarkobi,b,2,0-3,yafa_yarkobi_sideB_shot2_tilt0-3.jpg,2,resized,1620,2160
yerushalam_shel_zahav_sidea_shot1_tilt1-2,yerushalam_shel_zahav,a,1,1-2,yerushalam_shel_zahav_sideA_shot1_tilt1-2.jpg,1,resized,1620,2160
yerushalam_shel_zahav_sidea_shot2_tilt0-2,yerushalam_shel_zahav,a,2,0-2,yerushalam_shel_zahav_sideA_shot2_tilt0-2.jpg,1,resized,1620,2160
yerushalam_shel_zahav_sideb_shot1_tilt1-3,yerushalam_shel_zahav,b,1,1-3,yerushalam_shel_zahav_sideB_shot1_tilt1-3.jpg,0,resized,1620,2160
yerushalam_shel_zahav_sideb_shot2_tilt0-2,yerushalam_shel_zahav,b,2,0-2,yerushalam_shel_zahav_sideB_shot2_tilt0-2.jpg,0,resized,1620,2160
yuram_gaon_sidea_shot1_tilt2-2,yuram_gaon,a,1,2-2,yuram_gaon_sideA_shot1_tilt2-2.jpg,4,resized,1620,2160
yuram_gaon_sidea_shot2_tilt2-2,yuram_gaon,a,2,2-2,yuram_gaon_sideA_shot2_tilt2-2.jpg,4,resized,1620,2160
yuram_gaon_sideb_shot1_tilt1-1,yuram_gaon,b,1,1-1,yuram_gaon_sideB_shot1_tilt1-1.jpg,2,resized,1620,2160
yuram_gaon_sideb_shot2_tilt1-3,yuram_gaon,b,2,1-3,yuram_gaon_sideB_shot2_tilt1-3.jpg,3,resized,1620,2160
zaz_vezaza_sidea_shot1_tilt1-2,zaz_vezaza,a,1,1-2,zaz_vezaza_sideA_shot1_tilt1-2.jpg,11,resized,1620,2160
zaz_vezaza_sidea_shot2_tilt1-3,zaz_vezaza,a,2,1-3,zaz_vezaza_sideA_shot2_tilt1-3.jpg,7,resized,1620,2160
zaz_vezaza_sideb_shot1_tilt0-2,zaz_vezaza,b,1,0-2,zaz_vezaza_sideB_shot1_tilt0-2.jpg,8,resized,1620,2160
zaz_vezaza_sideb_shot2_tilt0-2,zaz_vezaza,b,2,0-2,zaz_vezaza_sideB_shot2_tilt0-2.jpg,8,resized,1620,2160
zipi_shavit_sidea_shot1_tilt1-2,zipi_shavit,a,1,1-2,zipi_shavit_sideA_shot1_tilt1-2.jpg,1,resized,1620,2160
zipi_shavit_sidea_shot3_tilt1-2,zipi_shavit,a,3,1-2,zipi_shavit_sideA_shot3_tilt1-2.jpg,3,resized,1620,2160
zipi_shavit_sideb_shot1_tilt2-1,zipi_shavit,b,1,2-1,zipi_shavit_sideB_shot1_tilt2-1.jpg,2,resized,1620,2160
zipi_shavit_sideb_shot2_tilt1-2,zipi_shavit,b,2,1-2,zipi_shavit_sideB_shot2_tilt1-2.jpg,3,resized,1620,2160
אנו עולים ושרים_sidea_shot1_tilt0-2,אנו עולים ושרים,a,1,0-2,אנו עולים ושרים_sideA_shot1_tilt0-2.JPG,4,resized,3024,4032
אנו עולים ושרים_sidea_shot2_tilt0-0,אנו עולים ושרים,a,2,0-0,אנו עולים ושרים_sideA_shot2_tilt0-0.JPG,15,resized,3024,4032
אנו עולים ושרים_sideb_shot1_tilt2-2,אנו עולים ושרים,b,1,2-2,אנו עולים ושרים_sideB_shot1_tilt2-2.JPG,14,resized,3024,4032
אנו עולים ושרים_sideb_shot2_tilt0-2,אנו עולים ושרים,b,2,0-2,אנו עולים ושרים_sideB_shot2_tilt0-2.JPG,13,resized,3024,4032
הגשש החיוור_sidea_shot1_tilt1-3,הגשש החיוור,a,1,1-3,הגשש החיוור_sideA_shot1_tilt1-3.JPG,3,resized,3024,4032
הגשש החיוור_sidea_shot3_tilt0-2,הגשש החיוור,a,3,0-2,הגשש החיוור_sideA_shot3_tilt0-2.JPG,3,resized,3024,4032
הגשש החיוור_sidea_shot4_tilt1-2,הגשש החיוור,a,4,1-2,הגשש החיוור_sideA_shot4_tilt1-2.JPG,3,resized,3024,4032
הד ארצי - נורית_sidea_shot1_tilt2-2,הד ארצי - נורית,a,1,2-2,הד ארצי - נורית_sideA_shot1_tilt2-2.JPG,20,resized,3024,4032
הד ארצי - נורית_sidea_shot2_tilt1-3,הד ארצי - נורית,a,2,1-3,הד ארצי - נורית_sideA_shot2_tilt1-3.JPG,17,resized,3024,4032
הד ארצי - נורית_sideb_shot2_tilt2-2,הד ארצי - נורית,b,2,2-2,הד ארצי - נורית_sideB_shot2_tilt2-2.JPG,6,resized,3024,4032
הד ארצי - נורית_sideb_shot3_tilt1-1,הד ארצי - נורית,b,3,1-1,הד ארצי - נורית_sideB_shot3_tilt1-1.JPG,11,resized,3024,4032
הד ארצי - שלא ייגמר לעולם_sidea_shot1_tilt2-2,הד ארצי - שלא ייגמר לעולם,a,1,2-2,הד ארצי - שלא ייגמר לעולם_sideA_shot1_tilt2-2.JPG,0,resized,3024,4032
הד ארצי - שלא ייגמר לעולם_sidea_shot2_tilt0-2,הד ארצי - שלא ייגמר לעולם,a,2,0-2,הד ארצי - שלא ייגמר לעולם_sideA_shot2_tilt0-2.JPG,0,resized,3024,4032
הד ארצי_sidea_shot1_tilt1-2,הד ארצי,a,1,1-2,הד ארצי_sideA_shot1_tilt1-2.JPG,5,resized,3024,4032
הד ארצי_sidea_shot2_tilt0-2,הד ארצי,a,2,0-2,הד ארצי_sideA_shot2_tilt0-2.JPG,8,resized,3024,4032
הד ארצי_sideb_shot1_tilt3-2,הד ארצי,b,1,3-2,הד ארצי_sideB_shot1_tilt3-2.JPG,2,resized,3024,4032
הד ארצי_sideb_shot2_tilt0-0,הד ארצי,b,2,0-0,הד ארצי_sideB_shot2_tilt0-0.JPG,2,resized,3024,4032
הלוך הלכה החבריא_sidea_shot1_tilt1-1,הלוך הלכה החבריא,a,1,1-1,הלוך הלכה החבריא_sideA_shot1_tilt1-1.JPG,5,resized,3024,4032
הלוך הלכה החבריא_sidea_shot2_tilt1-2,הלוך הלכה החבריא,a,2,1-2,הלוך הלכה החבריא_sideA_shot2_tilt1-2.JPG,6,resized,3024,4032
הלוך הלכה החבריא_sideb_shot1_tilt1-2,הלוך הלכה החבריא,b,1,1-2,הלוך הלכה החבריא_sideB_shot1_tilt1-2.JPG,5,resized,3024,4032
הצברים שלנו_sidea_shot1_tilt1-3,הצברים שלנו,a,1,1-3,הצברים שלנו_sideA_shot1_tilt1-3.JPG,8,resized,3024,4032
הצברים שלנו_sidea_shot2_tilt1-1,הצברים שלנו,a,2,1-1,הצברים שלנו_sideA_shot2_tilt1-1.JPG,6,resized,3024,4032
הצברים שלנו_sideb_shot1_tilt1-3,הצברים שלנו,b,1,1-3,הצברים שלנו_sideB_shot1_tilt1-3.JPG,3,resized,3024,4032
הצברים שלנו_sideb_shot2_tilt2-3,הצברים שלנו,b,2,2-3,הצברים שלנו_sideB_shot2_tilt2-3.JPG,2,resized,3024,4032
והילד הזה הוא אני_sidea_shot1_tilt0-2,והילד הזה הוא אני,a,1,0-2,והילד הזה הוא אני_sideA_shot1_tilt0-2.JPG,25,resized,3024,4032
והילד הזה הוא אני_sidea_shot2_tilt0-3,והילד הזה הוא אני,a,2,0-3,והילד הזה הוא אני_sideA_shot2_tilt0-3.JPG,10,resized,3024,4032
והילד הזה הוא אני_sideb_shot1_tilt2-3,והילד הזה הוא אני,b,1,2-3,והילד הזה הוא אני_sideB_shot1_tilt2-3.JPG,17,resized,3024,4032
והילד הזה הוא אני_sideb_shot2_tilt1-2,והילד הזה הוא אני,b,2,1-2,והילד הזה הוא אני_sideB_shot2_tilt1-2.JPG,12,resized,3024,4032
ירושלים של זהב_sidea_shot1_tilt1-2,ירושלים של זהב,a,1,1-2,ירושלים של זהב_sideA_shot1_tilt1-2.JPG,2,resized,3024,4032
ירושלים של זהב_sidea_shot2_tilt1-2,ירושלים של זהב,a,2,1-2,ירושלים של זהב_sideA_shot2_tilt1-2.JPG,1,resized,3024,4032
ירושלים של זהב_sidea_shot3_tilt1-2,ירושלים של זהב,a,3,1-2,ירושלים של זהב_sideA_shot3_tilt1-2.JPG,0,resized,3024,4032
ירושלים של זהב_sidea_shot4_tilt1-0,ירושלים של זהב,a,4,1-0,ירושלים של זהב_sideA_shot4_tilt1-0.JPG,1,resized,3024,4032
מצעד הכוכבים_sidea_shot1_tilt2-2,מצעד הכוכבים,a,1,2-2,מצעד הכוכבים_sideA_shot1_tilt2-2.JPG,0,resized,3024,4032
מצעד הכוכבים_sideb_shot1_tilt2-2,מצעד הכוכבים,b,1,2-2,מצעד הכוכבים_sideB_shot1_tilt2-2.JPG,6,resized,3024,4032
מצעד הכוכבים_sideb_shot2_tilt0-1,מצעד הכוכבים,b,2,0-1,מצעד הכוכבים_sideB_shot2_tilt0-1.JPG,4,resized,3024,4032
